"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"12","Experimental evidence for a hydride transfer mechanism in plant glycolate oxidase catalysis|http://www.jbc.org/content/290/3/1689.short|2015|0|6|None|None|None|http://scholar.google.com/scholar?cluster=17199141883251239686&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Background: Uncertainty remains about the nature of transition states along the reductive half-reaction of glycolate oxidase. Results: Deuterated glycolate and solvent slow down plant glycolate oxidase catalysis to a modest extent. Conclusion: Isotope effects support a  ...","Younès Messaddeq","2014","none"
"13","Impact of deoxynivalenol (DON) contaminated feed on intestinal integrity and immune response in swine|http://www.sciencedirect.com/science/article/pii/S0278691515000599|2015|2|3|14866063100312547987|None|http://scholar.google.com/scholar?cites=14866063100312547987&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=14866063100312547987&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract This study was performed to characterize the influence of consuming DON naturally contaminated feeds on pig's intestinal immune defenses, antibody response and cellular immunity. Sixteen 4-week-old piglets were randomly allocated to two dietary treatments:  ...","Younès Messaddeq","2014","none"
"14","Design, fabrication and validation of an OAM fiber supporting 36 states|http://www.osapublishing.org/oe/fulltext.cfm?uri=oe-22-21-26117|2014|16|6|5119830855082874513|None|http://scholar.google.com/scholar?cites=5119830855082874513&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=5119830855082874513&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract We present an optical fiber supporting 36 information bearing orbital angular momentum (OAM) states spanning 9 OAM orders. We introduce design techniques to maximize the number of OAM modes supported in the fiber; while avoiding LP mode  ...","Younès Messaddeq","2014","none"
"15","Radiative thermal rectification using superconducting materials|http://scitation.aip.org/content/aip/journal/apl/104/10/10.1063/1.4868251|2014|11|7|5831577434612196108|None|http://scholar.google.com/scholar?cites=5831577434612196108&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=5831577434612196108&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Thermal rectification can be defined as an asymmetry in the heat flux when the temperature difference between two interacting thermal reservoirs is reversed. In this Letter, we present a far-field radiative thermal rectifier based on high-temperature superconducting materials  ...","Younès Messaddeq","2014","none"
"16","Seasonal changes in mollusc abundance in a tropical intertidal ecosystem, Banc d'Arguin (Mauritania): Testing the 'depletion by shorebirds' hypothesis|http://www.sciencedirect.com/science/article/pii/S0272771413004927|2014|6|11|10553190120678204312|None|http://scholar.google.com/scholar?cites=10553190120678204312&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=10553190120678204312&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract At temperate latitudes densities and biomass of intertidal molluscs tend to be strongly seasonal. Here we provide a comparative study on seasonality of bivalves and gastropods in the tropical intertidal seagrass-covered soft sediment environment of Banc d ...","Younès Messaddeq","2014","none"
"17","Treatment for illegal drug use disorders: the role of comorbid mood and anxiety disorders|http://www.biomedcentral.com/1471-244X/14/89/|2014|5|24|9116711913294037379|None|http://scholar.google.com/scholar?cites=9116711913294037379&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=9116711913294037379&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Background Our aim was to examine whether comorbid mood and anxiety disorders influence patterns of treatment or the perceived unmet need for treatment among those not receiving treatment for illegal drug use disorders. Methods Data came from the National  ...","Younès Messaddeq","2014","none"
"18","Broadband supercontinuum generation in As 2 Se 3 chalcogenide wires by avoiding the two-photon absorption effects|http://www.osapublishing.org/ol/fulltext.cfm?uri=ol-38-7-1185&id=251772|2013|13|7|2037108373956800602|None|http://scholar.google.com/scholar?cites=2037108373956800602&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=2037108373956800602&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract We report the generation of a broadband supercontinuum (SC) spanning from 1260 to 2200 nm using a 10 cm long As 2 Se 3 chalcogenide (ChG) wire pumped at a wavelength of 1550 nm. Such a wide SC in As 2 Se 3 is obtained by avoiding the effects of two-photon  ...","Younès Messaddeq","2014","none"
"19","Mechanical strain induces the production of spheroid mineralized microparticles in the aortic valve through a RhoA/ROCK-dependent mechanism|http://www.sciencedirect.com/science/article/pii/S0022282813003581|2014|10|7|654919778023705598|None|http://scholar.google.com/scholar?cites=654919778023705598&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=654919778023705598&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Calcific aortic valve disease (CAVD) is a chronic disorder characterized by an abnormal mineralization of the leaflets, which is accelerated in bicuspid aortic valve (BAV). It is suspected that mechanical strain may promote/enhance mineralization of the aortic  ...","Younès Messaddeq","2014","none"
"20","Towards the development of fiber lasers for the 2 to 4 μm spectral region|http://proceedings.spiedigitallibrary.org/article.aspx?articleid=1692156%20&journalid=92|2013|10|9|10390355917626874797|None|http://scholar.google.com/scholar?cites=10390355917626874797&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=10390355917626874797&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract. A growing number of applications are calling for compact laser sources operating in the mid-infrared spectral region. A review of our recent work on monolithic fiber lasers (FL) based either on the use of rare-earth fluoride fibers or on Raman gain in both fluoride and  ...","Younès Messaddeq","2014","none"
"21","Fiber Bragg grating stabilization of a passively mode-locked 2.8 μm Er 3+: fluoride glass fiber laser|http://www.osapublishing.org/ol/fulltext.cfm?uri=ol-39-11-3294|2014|7|4|2172237148950369124|None|http://scholar.google.com/scholar?cites=2172237148950369124&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=2172237148950369124&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|We report the first stable mode-locking from an Er^ 3+: fluoride glass fiber laser linear cavity operating near 3 μm to the best of our knowledge. The linear cavity includes a saturable absorber mirror and a fiber Bragg grating to provide a controlled and wavelength selective  ...","Younès Messaddeq","2014","none"
