"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"12","Human betacoronavirus 2c EMC/2012–related viruses in bats, Ghana and Europe|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3647674/|2013|160|13|5321084818795932896|None|http://scholar.google.com/scholar?cites=5321084818795932896&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=5321084818795932896&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract We screened fecal specimens of 4,758 bats from Ghana and 272 bats from 4 European countries for betacoronaviruses. Viruses related to the novel human betacoronavirus EMC/2012 were detected in 46 (24.9%) of 185 Nycteris bats and 40 (14.7 ...","Chantal Mérette","2014","none"
"13","Pandoraviruses: amoeba viruses with genomes up to 2.5 Mb reaching that of parasitic eukaryotes|http://www.sciencemag.org/content/341/6143/281.short|2013|135|29|12658620258658263400|None|http://scholar.google.com/scholar?cites=12658620258658263400&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=12658620258658263400&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Ten years ago, the discovery of Mimivirus, a virus infecting Acanthamoeba, initiated a reappraisal of the upper limits of the viral world, both in terms of particle size (> 0.7 micrometers) and genome complexity (> 1000 genes), dimensions typical of parasitic  ...","Chantal Mérette","2014","none"
"14","Recessive mutations in DGKE cause atypical hemolytic-uremic syndrome|http://www.nature.com/articles/ng.2590|2013|121|11|18138301362937261365|None|http://scholar.google.com/scholar?cites=18138301362937261365&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=18138301362937261365&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Pathologic thrombosis is a major cause of mortality. Hemolytic-uremic syndrome (HUS) features episodes of small-vessel thrombosis resulting in microangiopathic hemolytic anemia, thrombocytopenia and renal failure 1. Atypical HUS (aHUS) can result from  ...","Chantal Mérette","2014","none"
"15","Mutations in ERCC4, encoding the DNA-repair endonuclease XPF, cause Fanconi anemia|http://www.sciencedirect.com/science/article/pii/S0002929713001638|2013|122|8|11465925958413385082|None|http://scholar.google.com/scholar?cites=11465925958413385082&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=11465925958413385082&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Fanconi anemia (FA) is a rare genomic instability disorder characterized by progressive bone marrow failure and predisposition to cancer. FA-associated gene products are involved in the repair of DNA interstrand crosslinks (ICLs). Fifteen FA-associated genes  ...","Chantal Mérette","2014","none"
"16","Yellow fever risk assessment in the Central African Republic|http://trstmh.oxfordjournals.org/content/108/10/608.short|2014|1|5|11967597242685135597|None|http://scholar.google.com/scholar?cites=11967597242685135597&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=11967597242685135597&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Background Starting in 2008, the Central African Republic (CAR) experienced an unprecedented number of reported yellow fever (YF) cases. A risk assessment of YF virus (YFV) activity was conducted to estimate potential disease risk and vaccine needs.  ...","Chantal Mérette","2014","none"
"17","Immunogenicity of 2 doses of HPV vaccine in younger adolescents vs 3 doses in young women: a randomized clinical trial|http://jama.jamanetwork.com/article.aspx?articleid=1682939&resultclick=3|2013|142|21|15618482483680872075|None|http://scholar.google.com/scholar?cites=15618482483680872075&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=15618482483680872075&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Objective To determine whether mean antibody levels to HPV-16 and HPV-18 among girls receiving 2 doses was noninferior to women receiving 3 doses. Design, Setting, and Patients Randomized, phase 3, postlicensure, multicenter, age-stratified, noninferiority  ...","Chantal Mérette","2014","none"
"18","Genetics and outcome of atypical hemolytic uremic syndrome: a nationwide French series comparing children and adults|http://cjasn.asnjournals.org/content/early/2013/01/09/CJN.04760512.short|2013|132|7|14992673027931793613|None|http://scholar.google.com/scholar?cites=14992673027931793613&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=14992673027931793613&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Summary Background and objectives Atypical hemolytic uremic syndrome (aHUS) is a rare complement-mediated kidney disease that was first recognized in children but also affects adults. This study assessed the disease presentation and outcome in a nationwide cohort  ...","Chantal Mérette","2014","none"
"19","Hypoglycaemia risk with insulin degludec compared with insulin glargine in type 2 and type 1 diabetes: a pre‐planned meta‐analysis of phase 3 trials|http://onlinelibrary.wiley.com/doi/10.1111/dom.12032/full|2013|113|10|6737466748810956159|None|http://scholar.google.com/scholar?cites=6737466748810956159&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=6737466748810956159&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Aim Hypoglycaemia and the fear of hypoglycaemia are barriers to achieving normoglycaemia with insulin. Insulin degludec (IDeg) has an ultra-long and stable glucose-lowering effect, with low day-to-day variability. This pre-planned meta-analysis aimed to  ...","Chantal Mérette","2014","none"
"20","H 2 O 2 and/or photocatalysis under UV-C irradiation for the removal of EDTA, a chelating agent present in nuclear waste waters|http://www.sciencedirect.com/science/article/pii/S0926860X14005870|2014|0|2|None|None|None|http://scholar.google.com/scholar?cluster=5479128980136151417&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract In this study, we compare the efficiency of photocatalytic processes based on TiO 2 (Degussa P-25) and UV/H 2 O 2 as a means of degrading and mineralizing ethylenediaminetetraacetic acid (EDTA) under UV-C irradiation. EDTA was the molecule  ...","Chantal Mérette","2014","none"
"21","Inhibition of the autophagic flux by salinomycin in breast cancer stem-like/progenitor cells interferes with their maintenance|http://www.tandfonline.com/doi/abs/10.4161/auto.23997|2013|31|7|18122018977761809202|None|http://scholar.google.com/scholar?cites=18122018977761809202&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=18122018977761809202&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Breast cancer tissue contains a small population of cells that have the ability to self-renew; these cells are known as cancer stem-like cells (CSCs). We have recently shown that autophagy is essential for the tumorigenicity of these CSCs. Salinomycin (Sal), a K+/H+  ...","Chantal Mérette","2014","none"
